nome,UF,partido,votos,total_despesa,quantidade_doadores,quantidade_despesas,recursos_de_pessoas_juridicas,recursos_de_partidos,recursos_de_pessoas_físicas,recursos_proprios,idade,sexo,grau,prop_doacoes_pj,prop_doacoes_pf,prop_doacoes_partido,prop_recursos_proprios,total_votos_uf,votos_prop
JOSE LUIZ AUGUSTO,MG,PSB,1472,17951.3,7,37,0,15e3,1200,601.3,52,MASCULINO,SUPERIOR COMPLETO,0,0.06684752636299321,0.8355940795374152,0.03349618133505651,15248681,9.653293947194515e-5
VALDOMIRO CORA,RO,PV,2238,46809.65,4,37,0,0,20330,0,53,MASCULINO,ENSINO MÉDIO COMPLETO,0,0.4343121557200278,0,0,1127154,0.0019855317019679655
PAULA CRISTINA NOBRE TITAN,PA,PMDB,67324,350737.06,29,105,204633.02,0,128420,0,24,FEMININO,SUPERIOR COMPLETO,0.5834371195333621,0.36614322991702103,0,0,5188450,0.012975744201061973
LUIS ANTONIO BATISTA,MG,PSL,155,5045,4,4,0,4e3,240,600,50,MASCULINO,SUPERIOR COMPLETO,0,0.04757185332011893,0.7928642220019821,0.11892963330029732,15248681,1.0164813599287703e-5
BRUNO LOPES DE ALMEIDA,RJ,PHS,444,3722.5,2,8,3722.5,0,0,0,32,MASCULINO,SUPERIOR COMPLETO,1,0,0,0,12141145,3.6569862232927785e-5
ALEXANDRA  DE FÁTIMA SILVA DE OLIVEIRA,RJ,PRB,548,1440,3,3,0,840,600,0,42,FEMININO,SUPERIOR INCOMPLETO,0,0.4166666666666667,0.5833333333333334,0,12141145,4.5135775909109065e-5
LIETIDES RAMOS DE NOVAES,SP,PHS,1683,2633.5,2,9,1368,0,0,0,56,MASCULINO,ENSINO MÉDIO COMPLETO,0.5194607936206569,0,0,0,31998432,5.259632722003378e-5
ZILMA CORREA BALIEIRO DOS SANTOS,AP,PSDC,10478,66697,25,61,300,625,65772,0,39,FEMININO,SUPERIOR COMPLETO,0.004497953431188809,0.9861313102538345,0.009370736314976686,0,455514,0.023002586089560365
ROBERTO EDUARDO SOBRINHO,RO,PT,16811,420284.88,22,260,89750,0,165125,165500,55,MASCULINO,SUPERIOR COMPLETO,0.21354563123945833,0.39288827140295884,0,0.3937805233440708,1127154,0.014914554710359011
CRISTIANE MARIA DA SILVA,PE,PSOL,254,5540,1,4,0,5540,0,0,35,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,0,0,1,0,6356307,3.996031028708966e-5
